Symbol,Entry Date,Exit Date,Entry Price,Exit Price,Stock PnL,Option PnL,Total PnL,Return,Reason
ROP,2020-07-08,2020-07-10,397.41,391.93,-3446.9200000000114,1271.9278367874545,-2174.992163212557,-0.008700981795170457,Signal Exit
ANSS,2020-07-06,2020-07-13,301.64,295.56,-5034.239999999987,2261.0887125035115,-2773.1512874964756,-0.011103356752396383,Signal Exit
REGN,2020-07-07,2020-07-13,640.88,615.88,-9750.0,2992.7462115981493,-6757.253788401851,-0.02703515754140081,Signal Exit
VRTX,2020-07-08,2020-07-13,295.92,284.82,-9368.40000000002,2838.7810977119807,-6529.618902288039,-0.026143941900078183,Signal Exit
INTU,2020-07-08,2020-07-13,310.38,297.64,-10255.700000000008,2975.4049219393432,-7280.295078060664,-0.029137975441287017,Signal Exit
GOOGL,2020-07-09,2020-07-13,1518.66,1512.23,-1054.5200000000104,875.676653346791,-178.84334665321944,-0.0007180726504287454,Signal Exit
MCO,2020-07-07,2020-07-14,285.37,291.24,5142.120000000004,-765.8186750092624,4376.301324990742,0.01750631730123794,Signal Exit
CMG,2020-07-08,2020-07-14,1114.43,1103.02,-2555.8400000000183,1559.1552838921925,-996.6847161078258,-0.003992610877100473,Signal Exit
AVGO,2020-06-26,2020-07-15,307.41,313.78,5178.809999999958,-390.47988398583834,4788.330116014119,0.019159119546360768,Signal Exit
GOOG,2020-07-10,2020-07-15,1541.74,1513.64,-4552.199999999985,1913.0854272405722,-2639.114572759413,-0.010566522692571873,Signal Exit
GWW,2020-07-14,2020-07-15,327.59,333.62,4600.890000000022,-1523.4580059347884,3077.431994065234,0.012312132782035924,Signal Exit
REGN,2020-07-14,2020-07-15,641.23,632.74,-3302.6100000000033,1108.1079512870017,-2194.5020487130014,-0.008797769039847789,Signal Exit
COST,2020-07-14,2020-07-15,328.0,326.7,-990.6000000000087,448.05159801553884,-542.5484019844698,-0.002170749319763739,Signal Exit
GOOGL,2020-07-14,2020-07-15,1520.86,1516.88,-652.7199999999657,343.89247361754065,-308.82752638242505,-0.0012381775265728387,Signal Exit
GOOG,2020-07-16,2020-07-23,1518.0,1515.68,-380.47999999998956,1107.0019837322782,726.5219837322886,0.0029183215388198873,Signal Exit
GOOGL,2020-07-16,2020-07-23,1514.92,1516.75,301.949999999988,910.461580871862,1212.41158087185,0.004850387462691699,Signal Exit
VRTX,2020-07-16,2020-07-23,290.56,284.46,-5246.00000000002,2305.5825507635996,-2940.4174492364205,-0.011767242763118295,Signal Exit
REGN,2020-07-16,2020-07-23,632.21,630.31,-750.5000000000359,1215.3053539596476,464.8053539596117,0.0018612840908679466,Signal Exit
AAPL,2020-06-26,2020-07-24,353.63,370.46,11881.979999999989,3398.6873579941275,15280.667357994116,0.06120522793983996,Signal Exit
COST,2020-07-16,2020-07-24,326.27,325.78,-375.34000000000697,1257.1337336670615,881.7937336670545,0.003528264180385987,Signal Exit
ORLY,2020-07-23,2020-07-24,447.85,442.34,-3074.5800000000268,1047.2084405036626,-2027.3715594963642,-0.008112721591356089,Signal Exit
ADBE,2020-06-30,2020-07-27,435.31,437.1,1027.4600000000119,1079.8750221174473,2107.335022117459,0.008433795156423266,Signal Exit
MCO,2020-07-24,2020-07-27,289.68,289.5,-155.3400000000059,467.437373412023,312.09737341201713,0.001248420254723145,Signal Exit
ILMN,2020-07-16,2020-07-30,375.88,382.78,4588.4999999999845,715.5051752945876,5304.005175294572,0.02121939882947194,Signal Exit
SPGI,2020-07-08,2020-07-31,354.32,350.25,-2869.3499999999954,704.7476457217923,-2164.602354278203,-0.008665494325273157,Signal Exit
ANSS,2020-07-27,2020-07-31,300.17,310.6,8677.760000000006,-2812.8490402219713,5864.910959778034,0.02348393186079985,Signal Exit
NFLX,2020-07-06,2020-08-04,493.81,509.64,8009.979999999992,-1502.1369938436837,6507.843006156309,0.026045138443000666,Signal Exit
